_page_url	comm_cosupervisors	comm_exam_chair	comm_external_examiner	comm_nonvoting_members	comm_supervisor	comm_voting_members	defence_date	department	student	title	university
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Dorothea Godt	Nathan Ford	James Orbinski	Donald Cole	Farah Ahmad, Michael Escobar, Ahmed Bayoumi	Thursday, August 22, 2013	Dalla Lana School of Public Health	Beth Rachlis	Losses To Follow-Up From An Antiretroviral Therapy (Art) Program In The Zomba District Of Malawi	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Paul Hamel	Andrea Madarasová Gecková		Carles Muntaner	James Dunn, Arjumand Siddiqi	Friday, August 16, 2013	Dalla Lana School of Public Health	Edwin Ng	The Politics Of Population Health In Canada: Testing Provincial Welfare Generosity And Leftist Politics As Macro-Social Determinants Of Population Health	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Michele Anderson	Stefano Bertozzi		Prabhat Jha	Dionne Gesink, Rahim Moineddin, Liviana Calzavara	Wednesday, August 14, 2013	Dalla Lana School of Public Health	Paul Arora	Epidemiologic Characterization Of The Sexual Transmission Of Human Immunodeficiency Virus And Other Sexually Trasnmitted Infections In India	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Jean Gariepy	Polly Newcomb	Andrew Seary	Gail Eyssen	Pierre Cote, Loraine Marrett, Elizabeth Badley	Thursday, July 11, 2013	Dalla Lana School of Public Health	Parisa Airia	From Education To Tumour Characteristics In Colorectal Cancer: An Analysis Of The Pathways	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Martin Mckneally	Audrey Tluczek		Ross Upshur	Fiona Miller, Stephanie Nixon, Catherine Chalin, Randi Zlotnik Shaul	Thursday, June 27, 2013	Dalla Lana School of Public Health	Erica J. Sutton	A Public Health Ethics Analysis Of Consent As A Least Restrictive Alternative For Newborn Screening In Ontario	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Jane Danska	Fred A Wright		Shelley Bull	Lei Sun, Andrew Paterson, David Tritchler, Virgil Radu Craiu	Wednesday, June 26, 2013	Dalla Lana School of Public Health	Laura Faye	Identification Of Candidate Causal Variants And Estimation Of Genetic Associations In Gwas And Post-Gwas Studies	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Micheline Piquette-Miller	Maria Lucia O. Souza-Formigoni	Cameron Norman	Brian Rush	Lorraine Ferris, Janet Barnsley, Ted Myers, Sanjeev Sridharan	Wednesday, June 12, 2013	Dalla Lana School of Public Health	Jaime Camilo Sapag Munoz De La Pena	Developing A Framework To Evaluate Collaboartive Mental Health Services In Primary Care Systems In Latin America	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Julie Claycomb	Roy Cain	Ted Myers, Sarah Flicker	Carol Strike	Ross Upshur, Stuart Murray, Ellen Maceachen	Wednesday, April 17, 2013	Dalla Lana School of Public Health	Adrian Guta	Governing Through Community Engagement: Lessons From The Canadian Hiv Community-Based Research Movement	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		David J. Kelvin	Noreen D. Willows		Kue Young	Wendy Lou, Daniel Sellen, Cameron Mustard	Friday, Aril 5, 2013	Dalla Lana School of Public Health	Kathryn Mcisaac	Breastfeeding Practices Of Inuit Canadians	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Ross Baker	Viroj Tangcharoensathien		Jurgen Rehm	Joanna Cohen, Robert Schwartz, Ted Myers	Tuesday, March 5, 2013	Dalla Lana School of Public Health	Bundit Sornpaisarn	The Effectiveness Of An Alternate Alcohol Taxation Method In A Middle-Income Country: A Case Study Of Thailand	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Peter Pennefather	Malcolm King		Kue Young	Suzanne Jackson, Onil Bhattacharyya, Ted Myers	Thursday, February 14, 2013	Dalla Lana School of Public Health	Angela Mashford-Pringle	Self-Determination In Health Care: A Multiple Case Study Of Four First Nations Communities In Canada	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Andrew Bognar	Edward J. Mills		Joanna Cohen	Susan Bondy, Peter Selby, Kue Young	Wednesday, February 13, 2013	Dalla Lana School of Public Health	Bo Zhang	Does Duration Of Nicotine Replacement Therapy Use Matter In Quitting Smoking? A Longitudinal Study Of Smokers In The General Population	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Glenn Morris	Maurizio Trevisan		Jurgen Rehm	Susan Bondy, Joanna Cohen, Nancy Kreiger, Robert Mann	Tuesday, December 11, 2012	Dalla Lana School of Public Health	Michael Roerecke	Heavy Drinking Episodes And Heart Disease Risk	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Scott Thomas	Ronald Bayer		Ross Upshur	Carol Strike, Jennifer Gibson, Alison Thompson	Monday, December 10, 2012	Dalla Lana School of Public Health	Diego Silva	Healthcare Workers And Decision-Makers' Understanding Of Liberty, Harm And The Harm Principle In The Case Of Tuberculosis In Persons With Severe And Persistent Mental Illnesses	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Shashi Kant	Karina Walters	Anna Banerji	Patricia O'Campo	Janet Smylie, Robert Mann, Ted Myers	Thursday, November 29, 2012	Dalla Lana School of Public Health	Michelle Firestone	Our Health Counts - Unmasking Health And Social Disparities Among Urban Aboriginal People In Ontario	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Martha Brown	Dave Holmes		Peggy Mcdonough	Ann Robertson, Jessica Polzer, Alison Thompson, Lorna Weir	Friday, November 9, 2012	Dalla Lana School of Public Health	Sarah Sanford	Integrating Pandemic Through Preparedness: Global Security And The Utility Of Threat	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Helene Cyr	Heather Mckay		Monique Gignac	Gillian Hawker, Cameron Norman, Jennifer Stinson, Liviana Calzavara	Thursday, September 27, 2012	Dalla Lana School of Public Health	Subha Ramanathan	Psychological And Social Factors Related To Physical Activities And Everyday Activities Among South Asian High School Girls	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Boris Steipe	John Santelli	Ron Gray (Via Teleconference)	Liviana Calzavara	Susan Bondy, Patricia O'Campo, Peggy Millson	Tuesday, September 17, 2012	Dalla Lana School of Public Health	Fiona Kouyoumdjian	Partner Violence As A Risk Factor For Incident Hiv Infection In Women In Rakai, Uganda	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current	Gail Mcvey, Harvey Skinner (Non-Voting Member)	Aileen Davis	Dianne Neumark-Sztainer			Niva Piran, Carla Rice, Katherine Boydell	Friday, September 14, 2012	Dalla Lana School of Public Health	Manuela Ferrari	Beyond Obesity And Disordered Eating In Youth (Body)	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		David Irwin	Marie-Elise Parent	Geoffrey Liu	Rayjean Hung	John Mclaughlin, Shelley Bull, Michelle Cotterchio	Tuesday, September 11, 2012	Dalla Lana School of Public Health	Darren Brenner	The Role Of Chronic Inflammation In The Development Of Lung Cancer	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Fiona Webster	Hamid Pezeshk		Andrew Willan	Wendy Lou, Patrick Brown, Jeffrey Hoch	Wednesday, July 25, 2012	Dalla Lana School of Public Health	Maggie Hong Chen	Using Value Of Information Methods To Determine Optimal Designs For Research In Diagnostic Tests And Multi-Stage Randomized Clinical Trials	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Nades Palaniyar	David Meyre		Mary Corey	Andrew Paterson, Lisa Strug, France Gagnon	Monday, June 4, 2012	Dalla Lana School of Public Health	Chelsea Taylor	The Development Of A Phenotype For Lung Disease Severity In Cystic Fibrosis And Its Application In The Cf Gene Modifier Study	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Joanne R. Rovet	William Avison	Astrid Guttmann	Susan Bondy, Anne Rhodes	Wendy Lou, Robert Mann	Wednesday, April 18, 2012	Dalla Lana School of Public Health	Jennifer Bethell	Child And Adolescent Emergency Department Presentations For Self-Harm: Population-Based Data From Ontario, Canada	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Mart Gross	Charmaine Dean	Dionne Gesink	James Stafford, Patrick Brown	Michael Escobar, George Tomlinson	Wednesday, January 18, 2012	Dalla Lana School of Public Health	Ye Li	Disease Mapping With Log Gaussian Cox Processes	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Razq Hakem	Jane E. Ledingham	Gail Mcvey	Bruce Ferguson	Melanie Barwick, Susan Bondy, Carol Strike	Thursday, December 15, 2011	Dalla Lana School of Public Health	Diana Urajnik	Attrition From Child/Youth Mental Health Treatment:The Role Of Child Symptoms	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Grant Brown	Julian Little	Douglas B. Chambers	Loraine Marrett	John R. Mclaughlin, Paul Corey, Cameron Mustard	Wednesday, November 23, 2011	Dalla Lana School of Public Health	Sang Nahm	Paternal Exposure To Ionizing Radiation In Ontario Uranium Minersand Risk Of Congenital Anomaly In Offspring: A Record Linkagecase-Control Study	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Vuk Stambolic	Adrian Dobra		Rafal Kustra	Michael Escobar, Radford Neal, Laurent Briollais	Tuesday, October 25, 2011	Dalla Lana School of Public Health	Matthew Kowgier	Bayesian Hidden Markov Models For Finding Dna Copy Numberchanges From Snp Genotyping Arrays	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Tba	Nadav Davidovitch		Anne-Emauelle Birn	Donald Cole, Agnes Meinhard, Izzeldin Abuelaish	Monday, September 12, 2011	Dalla Lana School of Public Health	Richard Ilan Alleson	Contested Environmental Illness In The Negev/Al-Naqib: A Narrativeanalysis Of Local Knowledge And Organizational Struggle	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Peter Cheung	Michel Bedard		Mary Chipman	Susan Bondy, Mary Tierney, David Fisman	Thursday, August 18, 2011	Dalla Lana School of Public Health	Nicole Riley	Injuries Among Elderly Canadians: Psychotropic Medicationsand The Impact Of Alcohol	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Rama Khokha	Chrisopher Sempos		Jurgen Rehm	Susan Bondy, Douglas Manuel, Robert Mann	Tuesday, August 9, 2011	Dalla Lana School of Public Health	Dalia Baliunas	A Comparison Of Two Methods Of Adjusted Attributable Fractionestimation As Applied To The Four Major Smoking Relatedcauses Of Death, In Canada, In 2005	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Derek Van Der Kooy	Vera Chouinard		Joan Eakin	Patricia Mckeever, Katherine Church, Blake Poland	Wednesday, June 29, 2011	Dalla Lana School of Public Health	Esther Ignagni	Disabled Young People, Support And The Dialogicalwork Of Accomplishing Citizenship	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Sean Rourke	Victor Strecher		Alejandro Jadad	Lorraine Ferris, Joel Katz, Gillian Einstein	Tuesday, May 31, 2011	Dalla Lana School of Public Health	Jacqueline Bender	The Web Of Care: A Multi-Method Study Examining The Role Of Online Communities As A Source Of Supportive Care For Breast Cancer Survivors	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Rhonda Cockerill	Daniel Kleinman		Peggy Mcdonough	Mathieu Albert, Louise Lemieux-Charles, Fiona Miller	Friday, May 27, 2011	Dalla Lana School of Public Health	Wendy Mcguire	Constructing Quality In Academic Science: How Basic Health Scientists Respond To Canadian Market-Oriented Science Policy: A Bourdieusian Approach	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Heather Boon	Julie Mcmullin		Peggy Mcdonough	Amanda Sacker, Diana Worts, Arjumand Siddiqi	Wednesday, May 25, 2011	Dalla Lana School of Public Health	Laurie Corna	Gender, The State And A Lifetime Of Experience:Understanding Health Inequality Among Older Adults In Britain	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Jordan Peterson	Nancy Theberge		Joan Eakin	Peggy Mcdonough, Margaret Mcneill, Linn Holness	Tuesday, May 24, 2011	Dalla Lana School of Public Health	Elizabeth Mansfield	The Politics Of Collaborative Prevention: A Sociological Account Of Commemoratives And A Young Worker Safety Campaign	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Peter Pennefather	Catherine Worthington		Liviana Calzavara	Ping-Chun Hsiung, I.D. Rusen, Carol Strike	Friday, May 6, 2011	Dalla Lana School of Public Health	Amrita Daftary	Integrating Patients Into Integrated Tb/Hiv Healthcare:Perspectives From Individuals Coinfected With Tuberculosis And Hiv	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Leah Cowen	Thierry Duchesne		George Tomlinson	Jamie Stafford, Patrick Brown, Michael Escobar	Monday, April 4, 2011	Dalla Lana School of Public Health	Gerald Lebovic	Estimating Non-Homogeneous Intensity Matrices Incontinuous Time Multi-State Markov Models	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		David Hedley	Joy Johnson		Blake Poland	Peggy Mcdonough, Caroline Fusco, Jessica Polzer	Friday, March 4, 2011	Dalla Lana School of Public Health	Josephine Wong	Being-Doing-Becoming Manly Men: A Bourdieusian Exploration Of The Construction Of Masculine Identities And Sexual Practices Of Young Men	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Heather Boon	Angelo J. Canty		Joseph Beyene, Andrew Willan	Laurent Briollais, David Tritchler	Wednesday, February 23, 2011	Dalla Lana School of Public Health	Ahmed Hossain	Contribution To Statistical Techniques For Identifying Differentially Expressed Genes In Microarray Data	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2011-current		Eleanor Fish	James Waldram		Anne-Emanuelle Birn, Bonnie Mcelhinny	Kathi Wilson, Kari Delhi, Holly Wardlow	Thursday, January 20, 2011	Dalla Lana School of Public Health	Krista Maxwell	Making History Heal: Settler-Colonialism And Urban Indigenous Healing In Ontario, 1970'S-2010	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Romin Tafarodi	Jinko Graham	Patrick Brown	Shelley Bull, James Stafford	Lei Sun, Laurent Briollais	Thursday, October 21, 2010	Dalla Lana School of Public Health	Lucia Mirea	Approaches Incorporating Evidence For Population Stratification Bias In Genetic Association Analyses Combining Individual And Family Data	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Yaacov Ben-David	Louise St-Arnaud		Joan Eakin	Carol Strike, Renee-Louise Franche, Bonnie Kirsh	Friday, September 3, 2010	Dalla Lana School of Public Health	Sandra Moll	Mental Ill-Health At Work: Institutional Practices Of Silence In A Mental Healthcare Organization	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Robert Kerbel	Jo Freudenheim		Michelle Cotterchio	Julia Knight, Victoria Kirsh, John Mclaughlin	Wednesday, August 25, 2010	Dalla Lana School of Public Health	Laura Nicole Anderson	Vitamin D And Breast Cancer	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Jennifer Gommerman	Donna Fedorkow		Lorraine Ferris	Katherine Boydell, Bart Harvey, Ross Upshur	Tuesday, August 10, 2010	Dalla Lana School of Public Health	Natalie Perkins-Ceccato	Making Sense Of Medical Education: An Examination Of Contraception Counselling, Unplanned Pregnancy Counselling, And Abortion Services Curricula In Ontario Medical Schools	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Sadhna Joshi-Sukhwal	Joanne Nicholson		Patricia Mckeever, Katherine Boydell	Mary Seeman, Joan Eakin	Tuesday, March 30, 2010	Dalla Lana School of Public Health	Brenda Gladstone	"All In The Same Boat": An Analysis Of A Support Group For Children Of Parents With Mental Illness	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Matthew Bjerknes	Robert Kohn		Michael Escobar, Helene Massam	David Tritchler, Laurent Briollais	Thursday, March 18, 2010	Dalla Lana School of Public Health	Nikolaos Mitsakakis	Bayesian Methods For Gaussian Graphical Models	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Robert Harrison	Joel Dubin	Jennifer O'Loughlin	Joanna Cohen	Jurgen Rehm, Nancy Kreiger	Wednesday, March 10, 2010	Dalla Lana School of Public Health	Michael Chaiton	A Longitudinal Investigation Into The Association Of Smoking And Depression Among Adolescents: Exposures, Outcomes, And Auxiliary Hypotheses	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Joseph Carens	Constance Weisner		Brian Rush	Jurgen Rehm, Susan Bondy, John Cunningham, Lorraine Ferris	Friday, December 4, 2009	Dalla Lana School of Public Health	Karen Anne Urbanoski	A Theory-Based Analysis Of Coercion In Addiction Treatment	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Margaret Hough	Arthur Frank		Ann Robertson	Joan M. Eakin, Ric Knowles, Adrienne Chambon	Monday, September 14, 2009	Dalla Lana School of Public Health	Kate Rossiter	Undoing Wit: A Critical Exploration Of Performance And Medical Education In The Knowledge Economy	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Elizabeth Johnson	Robert Tate		Cameron Mustard	Doug Manuel, William Gnam, Michael Baker	Friday, September 11, 2009	Dalla Lana School of Public Health	Jacob Etches	Economic Inequality In Adult Mortality In Canada: Analyses Of The Longitudinal Administrative Databank	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Anneke Rummens	William M. Bukowski, Jr.		Maru Barrera	Judith Wiener, Judith Hamilton, Michael Goodstadt	Thursday, September 10, 2009	Dalla Lana School of Public Health	Fiona Schulte	Enhancing Social Competence Through A Group Intervention Program For Survivors Of Childhood Brain Tumours	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Steven Meyn	Richard Cook		James Stafford	Patrick Brown, Wendy Lou, Fang Yao	Tuesday September 8, 2009	Dalla Lana School of Public Health	Chun-Po 'Steve' Fan	A Local Likelihood Method For Coarsened Point Process Data	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Jason Plaks	Noreen Willows		Kue Young	Wendy Lou, Anthony Hanley, Robert Mann	Friday, September 4, 2009	Dalla Lana School of Public Health	Jennifer Fergenbaum	Vascular And Metabolic Risk Factors, Carotid Atherosclerosis, And Vascular Cognitive Impairment In A First Nations Population	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Joe Minta	K. S. Joseph		John W. Frank	Rick H. Glazier, Rahim Moineddin, Patricia O'Campo	Wednesday, July 29, 2009	Dalla Lana School of Public Health	Marcelo Luis Urquia	Birth Outcomes Among Immigrants To Urban Ontario. A Population Based Study.	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Molly Verrier	Evelyn Vingilis	William Pickett	Mary Chipman, Pierre Côté	Sue Bondy, Cameron Mustard	Tuesday, July 14, 2009	Dalla Lana School of Public Health	Helen M. Scott	Family Matters: An Examination Of The Association Between Family Structure And Youth Injury	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Andrew Mason	Rollin F. Brant		Doug Manuel, Cameron Mustard	Paul Corey, Elizabeth Badley	Thursday July 9, 2009	Dalla Lana School of Public Health	Laura Rosella	A Population Based Approach To Diabetes Mellitus Risk Prediction: Methodological Advances And Practical Applications	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Joel Sadavoy	Roy Cain		Ted Myers	Liviana Calzavara, Jan Angus, Dionne Gesink Law	Friday, June 26, 2009	Dalla Lana School of Public Health	Anthony Lombardo	Sex And Cyberspace: The Internet In The Sexual Lives Of Men Who Have Sex With Men	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010	Robert Remis, Peggy Millson	Heather Carnahan	Sten Vermund			Janet Raboud, Ted Myers	Thursday, June 25, 2009	Dalla Lana School of Public Health	Wendy Bhanich Supapol	The Impact Of Gbv-C Coinfection On Mother To Child Transmission Of Hiv	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Thomas Wolever	Kristan Aronson	Jennifer Payne	Loraine D.Marrett	James Purdham, Wendy Lou, Cameron Mustard	Monday, June 1, 2009	Dalla Lana School of Public Health	Minh T. Do	Ionizing Radiation Exposure And Risk Of Gastrointestinal Cancer: A Study Of The Ontario Uranium Miners	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Timothy Hughes	Leigh Callahan		Elizabeth Badley	Aileen Davis, Sheila Hogg-Johnson, Susan Bondy	Friday, May 8, 2009	Dalla Lana School of Public Health	Anthony Perruccio	The Contribution Of Physical, Mental And Social Dimensions Of Health To Predicting Self-Rated Health Over The Course Of Recovery Following Total Joint Replacement Surgery	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Matthew Bjerknes	Laura Punnett	Richard Wells	Harry S. Shannon	Sheilah Hogg-Johnson, Donald Cole, Mary Chipman	Tuesday, November 11, 2008	Dalla Lana School of Public Health	Lauren Griffith	The Use Of Individual Participant Data (Ipd) For Examining Heterogeneity In Meta-Analysis Of Observational Studies: An Application To Mechanical Workplace Risk Factors And Low Back Pain	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Judy Watt-Watson	Allison M. Williams		Denise Gastaldo	Peri Ballantyne, Stephen Katz, Gavin Edwards, Ted Myers	Thursday, September 18, 2008	Dalla Lana School of Public Health	Paula J. Gardner	The Public Life Of Older People: Neighbourhoods And Networks	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Mohini Sain	David Patrick	Iris Gutmanis	Allison Mcgeer	Susan Bondy, Ian Johnson, Donald Cole	Monday, September 8, 2008	Dalla Lana School of Public Health	Brenda Lee Coleman	The Role Of Drinking Water As A Source Of Transmission Of Antimircrobial Resistant Escherichia Coli	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Sandra Donnelly	Scott Sheridan	Rahim Moineddin	Donald C. Cole	Wendy Lou, Elizabeth Rea, Andrea Sass-Korstak	Friday, May 16, 2008	Dalla Lana School of Public Health	Kate Bassil	The Relationship Between Temperature And 911 Medical Dispatch Data For Heat-Related Illness In Toronto, 2002-2005: An Application Of Syndromic Surveillance	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Zhongping Feng	Ivy Lynn Bourgeault		Rhonda Love	Merrijoy Kelner, David Cassidy, Heather Boon	Monday, April 7, 2008	Dalla Lana School of Public Health	Sophie Soklaridis	A Qualitative Research Project Exploring Integrative Health Care In An Occupational Health Clinic Within A Hospital Setting: The Artists Health Centre Finds A Home At The Toronto Western Hospital	University of Toronto	
